tconst,directors,writers
tt0011216,nm0241273,nm0217526
tt0016906,nm0136068,\N
tt0062336,"nm0749914,nm0765384","nm0749914,nm1146177"
tt0065392,"nm12030368,nm12030369,nm0300168",\N
tt0069049,nm0000080,"nm0000080,nm0462648"
tt0093119,nm0007013,"nm0564651,nm0791007"
tt0100275,"nm0765384,nm0749914","nm1360635,nm0749914"
tt0112502,nm6883878,\N
tt0114978,"nm0950767,nm0556530","nm0556530,nm0950767"
tt0116991,nm0007037,nm0361069
tt0137204,nm0365480,nm0365480
tt0140392,nm0710900,nm0710900
tt0146592,nm1030585,"nm1030585,nm1921430"
tt0154039,nm0417352,nm0417352
tt0159369,nm0611850,nm0611850
tt0162942,nm1207262,"nm1213474,nm1207262,nm2512244"
tt0170155,nm0754212,\N
tt0170651,nm0161615,\N
tt0176694,nm0417757,"nm0417757,nm1062583"
tt0188299,nm0943210,"nm1954311,nm2884001,nm0943210"
tt0191476,nm0199379,nm0199379
tt0192528,nm0667001,nm0667001
tt0210470,nm0682408,\N
tt0228933,"nm0204501,nm0293354,nm0376963,nm0454468","nm0204501,nm0293354,nm0376963,nm0454468"
tt0230212,nm0011276,"nm0010911,nm0011276,nm1236772"
tt0244136,"nm0320579,nm0618248",\N
tt0247643,nm0881867,"nm0679160,nm0881867"
tt0249516,nm0440415,"nm0440415,nm0923312,nm0295165,nm0841854,nm0220297"
tt0255820,nm0133626,"nm0133626,nm2983892,nm0790758"
tt0276568,nm0413912,\N
tt0283440,"nm1549344,nm0905839","nm1549215,nm1549344,nm0501350"
tt0285252,nm0899854,nm0899854
tt0293069,nm0806293,nm0059172
tt0297400,\N,\N
tt0304681,nm0958308,\N
tt0308078,nm0258477,\N
tt0312305,"nm0820800,nm1004541",nm1004541
tt0315642,nm2349060,"nm0006765,nm0430785,nm2349060,nm5241801,nm1249226,nm3871075,nm7430071"
tt0323808,nm0362736,nm0362736
tt0326716,nm0425957,nm0425957
tt0326965,nm1075006,nm1075006
tt0328810,nm0784019,"nm1383798,nm0784019,nm2832163"
tt0329539,nm0278780,nm0512694
tt0330987,nm0511951,"nm9039978,nm0511951"
tt0331312,nm1238415,"nm1238415,nm3145808,nm1237412,nm1238628,nm0514874"
tt0331314,nm8625898,"nm0630057,nm0908438"
tt0337692,nm0758574,"nm0449616,nm1433580"
tt0337882,nm0706973,"nm0509864,nm0673664,nm0896139"
tt0337926,nm0285071,"nm0138676,nm0285071,nm0730422,nm1412474"
tt0338258,nm0716490,"nm0716490,nm0000636"
tt0339736,nm1274189,nm1274189
tt0346045,nm0021233,"nm0021233,nm8031088,nm4674214"
tt0359950,nm0001774,"nm0175726,nm0862122"
tt0360556,nm1023919,"nm0001969,nm1023919,nm0618881"
tt0364201,nm1768188,nm1768188
tt0365545,nm2223783,"nm0111845,nm10021676,nm1946260"
tt0365907,nm0291082,"nm0088747,nm0291082"
tt0368133,nm0698464,nm0698464
tt0369610,nm1119880,"nm0415425,nm0798646,nm1119880,nm2081046,nm0000341"
tt0372538,nm0460285,"nm0582147,nm1403419,nm1401419"
tt0374682,nm0944767,nm0944767
tt0376136,nm0732430,"nm0732430,nm0860219"
tt0376479,nm0000191,"nm0744980,nm0738908"
tt0377981,nm0038432,"nm0819522,nm0975322,nm0726978,nm0147700,nm0038432,nm2050680,nm0123666,nm1486235,nm1271884,nm0000636,nm10581811"
tt0383010,"nm0125803,nm0268380","nm0148808,nm0125803,nm0268380"
tt0383477,nm0644382,nm0644382
tt0385887,nm0001570,"nm0001570,nm0504672"
tt0387112,nm0041536,\N
tt0393049,nm1516329,nm1516329
tt0396123,nm0104888,nm0104888
tt0398286,"nm1977355,nm0397174","nm1557594,nm0342278,nm0342303"
tt0400320,nm0785193,nm0785193
tt0401729,nm0004056,"nm0004056,nm0028764,nm0149290,nm0123194"
tt0403645,nm0586482,"nm0586482,nm0596208,nm1436795,nm0659368"
tt0403935,nm0222150,"nm6859370,nm0222150,nm1209132"
tt0404978,nm0001355,"nm0001054,nm0001053,nm0140987"
tt0406282,nm1589698,nm1589698
tt0407194,nm1481675,"nm1602440,nm1481675"
tt0409379,nm0771613,"nm0957652,nm0068428,nm0771613"
tt0409847,nm0269463,"nm0649460,nm0476064,nm0511541,nm1318843,nm1319757,nm0644203,nm0003321"
tt0411951,nm0514546,nm0568416
tt0417610,nm1145057,"nm0083201,nm1145057"
tt0417750,nm0377412,\N
tt0419692,nm1384445,nm1384445
tt0420293,nm1547859,"nm0848003,nm1674354"
tt0423474,nm0509028,nm1297774
tt0424859,nm0817974,"nm0817974,nm1413455"
tt0425785,nm0733608,"nm1166184,nm0733608"
tt0426566,nm1163513,"nm1163513,nm0575586"
tt0427152,nm0005366,"nm1115862,nm1911349,nm0891554"
tt0427543,nm0853374,"nm0294580,nm1093951,nm0853374"
tt0429493,nm0138620,"nm0138620,nm0089141,nm0940790,nm0526967,nm0004798"
tt0430524,nm0342041,\N
tt0431021,nm0097079,"nm1340000,nm0925482,nm1757236"
tt0432010,nm0723534,nm0723534
tt0433035,nm0506613,"nm0309691,nm0319659,nm0505230,nm0558577"
tt0433397,nm0647487,"nm0647487,nm0903200"
tt0433533,nm0646391,"nm1125952,nm0646391"
tt0433787,nm0769349,nm0769349
tt0435651,nm0637518,"nm2276729,nm0004332,nm0523342"
tt0435761,nm0881279,"nm0005124,nm0004056,nm0881279,nm1578335"
tt0436230,nm1802289,"nm1685777,nm1802289"
tt0436782,"nm1167800,nm0074206",\N
tt0437086,nm0001675,"nm0000116,nm0436164,nm1738737"
tt0437462,nm0221087,"nm0221087,nm2628697,nm2643651"
tt0439724,nm1802383,"nm1847863,nm1830693,nm1802383"
tt0439801,nm1509181,"nm1509181,nm2141290,nm1757631"
tt0441779,"nm1834455,nm0960584","nm0960584,nm9912130,nm1834455"
tt0441881,nm0826541,"nm0064181,nm1792356,nm1764825,nm0838283,nm4870103"
tt0443272,nm0000229,"nm1065785,nm0329447"
tt0443331,nm0442479,nm1209132
tt0443465,nm0262635,"nm0060103,nm2267102,nm1281191,nm1343759"
tt0443533,nm0586123,"nm0586123,nm0738925,nm1842569"
tt0444531,nm0300210,"nm0300210,nm0300251"
tt0445054,nm0343898,nm1451437
tt0446029,nm0942367,"nm0045209,nm0942367,nm1854069"
tt0446686,nm0571188,nm0571188
tt0446792,nm3584411,nm3584411
tt0448022,nm0926592,"nm0870013,nm1856869"
tt0448115,nm2497546,"nm2849655,nm0501359,nm1791910,nm1304148"
tt0448694,nm1844237,"nm1117226,nm0528244,nm0204030,nm0011470,nm0674518,nm0825738"
tt0449005,nm1838827,nm1869004
tt0451108,nm1847622,nm1847622
tt0451154,nm0367822,"nm0166816,nm0367822"
tt0451201,nm0853204,"nm0853204,nm1913942,nm2184396"
tt0451279,nm0420941,"nm0374302,nm0811583,nm0297229,nm0551376,nm4243936"
tt0452183,nm1876536,nm1876536
tt0452664,nm0905343,"nm0905343,nm2834487,nm1492569,nm1985797"
tt0453562,nm0001338,nm0001338
tt0454155,nm1434818,nm1434818
tt0454876,nm0000487,"nm1674631,nm1341735"
tt0455323,nm0919369,"nm0919369,nm1793387"
tt0455407,nm0252135,"nm0466925,nm1242522,nm0001681"
tt0455944,nm0298807,"nm0921013,nm0805994,nm2030456"
tt0457591,nm1472334,"nm1472334,nm0221517"
tt0458339,nm0002653,"nm1321655,nm1321656,nm0800209,nm0456158"
tt0458413,nm0154312,"nm0394984,nm2113666"
tt0458481,"nm0001675,nm0588340",nm0588340
tt0459748,nm0320192,"nm2008440,nm0320192,nm1922888"
tt0460528,nm5405113,\N
tt0460778,nm0583039,"nm1924035,nm0583039"
tt0460809,nm0706210,nm0706210
tt0460890,nm1989536,nm1615610
tt0460957,nm1943600,"nm1943600,nm5061479"
tt0461336,nm0351021,"nm1520017,nm0351021"
tt0462036,nm1940585,nm1940585
tt0462335,nm1296554,"nm4207229,nm0050618"
tt0462516,nm1319539,nm1319539
tt0463311,nm1186703,"nm1950716,nm1820442,nm1186703"
tt0463960,nm1950060,nm1955863
tt0464032,nm1123696,"nm1123696,nm1130777"
tt0464054,nm0175730,"nm1952191,nm0003905"
tt0464154,nm0014960,"nm1539257,nm0831457"
tt0464162,nm0754184,nm0754184
tt0464891,nm1384445,"nm1384445,nm0611295"
tt0465637,nm0022805,"nm0022805,nm0836784"
tt0466553,nm0403951,\N
tt0466893,nm0518836,nm0518836
tt0469021,nm0523276,"nm1668151,nm1668152,nm0176869,nm0406334,nm0063165,nm0544999"
tt0469094,nm0592171,nm0592171
tt0469152,nm0707738,"nm0707738,nm0071770"
tt0469158,nm1978068,nm1978068
